	SRX4240060	SRX4240061	SRX4240062	SRX4240063	SRX4240068	SRX4240069	SRX4240070	SRX4240071
AT1G01260	18.3796536097114	16.1802044571438	20.2225178461241	16.0629601233985	11.5936051633554	14.5197342352156	11.6924413965892	16.7013235105805
AT1G01290	12.7297602521085	6.8029313034981	15.9947414348777	14.3745562139256	6.29970901589208	23.0503076621274	12.9935404300519	16.4389258689941
AT1G01300	58.2770326980349	76.0962657819674	107.788450786178	69.6742293005612	16.0379958726668	22.762331967086	9.88455161461069	22.2550154360387
AT1G01320	910.846295778165	581.096533575802	989.128792467503	987.16277879906	387.201561758802	283.389948725969	449.039341016552	399.279631629606
AT1G01350	20.225558406965	19.3699585626826	22.8257895782494	25.5242226150571	36.6582762803813	46.6627805325263	32.4778124480066	36.6553195417108
AT1G01360	16.1118855106332	15.2192531563935	24.0938889992633	20.005471779369	38.9494185479051	43.2484307374634	60.7193884897514	57.6012164226884
AT1G01390	24.8951574310995	35.3027593291215	26.9321987145846	24.418447878906	5.79283658395024	1.15102821177022	1.42809843982184	3.85420562780684
AT1G01420	38.4159596022306	60.6706302127028	32.128613835875	41.0058643918	3.34894991745287	5.54526235252031	9.63212943547304	4.70698569233163
AT1G01430	87.4155490470523	83.0141081257827	64.6730704717067	79.3320432630152	45.8228453504766	42.1103141391091	26.8294972396576	45.8191494271385
AT1G01440	20.5683644816594	20.7535270314457	22.8257895782494	24.8343787605961	8.0189979363334	13.6573991802516	15.5328668229597	14.4003041056721
