	SRX4240080	SRX4240082	SRX4240084	SRX4240085
AT1G01630	319.189174505826	387.522893865042	646.376914106399	537.212546700864
AT1G01640	27.0094959329035	30.5060002462744	44.3354279015003	52.6071396093929
AT1G01650	361.399582175745	371.50919871737	370.402134929823	328.458767912645
AT1G01660	15.9073289084996	11.0256743829606	19.2223505393887	15.6611989422889
AT1G01670	11.5432616191854	9.09423741162412	7.7507266167331	17.4473207679988
AT1G01690	99.9626305867064	33.814471282918	93.1118138450309	34.6424751400395
AT1G01700	16.7392686362286	11.0015846147297	10.9165165772493	1.42063464656294
AT1G01710	170.117307291566	315.018610496744	287.514102777382	477.809236248365
AT1G01715	28.9374801062974	101.255981945382	41.6789485598662	91.6877183071187
AT1G01720	388.463748093629	5411.56970174764	563.725439843614	9818.33411674681
AT1G01725	377.06413471842	298.767650431436	167.422217096412	214.368468154672
AT1G01730	505.967455191927	287.516985770838	377.229805609636	287.976918063204
AT1G01740	80.303565990063	60.657185874312	66.0998216640246	76.2900973006979
AT1G01750	100.570140317185	42.66613438527	93.2052713418903	21.6158676145445
AT1G01760	6.14958678001785	23.3721536860483	21.1711849346433	37.1012653075847
AT1G01770	462.122788364204	685.040470445301	468.358354155784	790.322304281079
AT1G01780	519.997748576799	395.023336972108	428.798674166759	413.240420539126
AT1G01790	908.667388944351	1492.19270039259	898.819131790544	1429.02828888636
AT1G01800	710.178059236968	950.257055145051	514.746570166994	926.611896683209
AT1G01820	1071.56365726956	1343.82939001587	955.083702592187	1634.88241375792
AT1G01830	114.638525441447	1167.77175674158	176.417424795249	2495.4952597968
AT1G01840	68.3976802512484	26.2515508747287	43.0917942737599	9.03963419929339
AT1G01860	171.891598190372	50.0811063758415	166.847268032833	102.449148330749
AT1G01880	34.1863749038663	34.0550500956348	29.6668923719283	21.693025217307
AT1G01900	72.7821469340207	55.0032494518125	75.5872456933166	36.1585367971736
AT1G01910	838.99228819371	709.887629927218	726.166624514119	760.120854425263
AT1G01920	230.64568905035	310.482745338992	275.882276663814	302.29323220698
AT1G01930	165.732840608794	502.529688173378	237.358079934153	532.047041444125
AT1G01940	85.9355469823377	1248.82377732638	171.660754238093	2368.38416021487
AT1G01950	221.677017794228	271.049608176587	227.286684586422	344.329566329133
AT1G01960	939.152763449834	985.058194727914	1020.0746054313	1314.6210878401
AT1G01970	767.281669485158	477.528211149826	487.43177129335	356.419862714997
AT1G01990	540.166295317551	590.034857755806	425.972982738971	542.378051957603
AT1G02000	171.871093964675	476.278137298649	153.293759957474	520.424654616462
AT1G02010	95.5203274615188	62.71320230148	94.1520737767921	63.7369756298801
AT1G02020	170.285204612125	277.175966937149	194.465170605176	282.480061134361
AT1G02050	155.210120570141	103.756129647737	185.789211377031	120.097997219184
AT1G02060	27.1836934331885	40.0023632376818	51.5688685571225	78.773955165271
AT1G02065	10.5093088683511	12.8557051761292	22.7392979965959	11.9524121201812
AT1G02080	589.272322164601	750.044310706534	654.853988389762	1133.82840385423
AT1G02090	487.417567186889	2369.33098758859	535.668643997363	3175.12421983312
AT1G02100	520.116173917098	735.727620763811	464.158561321618	900.772071089791
AT1G02110	317.435387832717	568.783602285788	462.000548443262	730.91899382858
AT1G02120	765.502685119112	842.192238823197	748.095467046611	1271.35407714892
AT1G02130	406.878508161272	432.525552507434	487.43177129335	557.874567727821
AT1G02140	2199.2484880786	2860.16897149425	2385.58998790963	3658.46909808545
AT1G02145	244.00734956922	239.181939838115	250.735199741428	209.282814411169
AT1G02150	1847.61426012026	2258.88344907784	1990.69961087632	2112.69165000628
AT1G02160	802.660523781195	527.588493311578	662.03852818502	501.95264869624
AT1G02170	273.590721004993	306.268093538501	277.624182780126	346.088852201518
AT1G02180	63.1363202319216	75.0044310706534	64.2844799821665	49.0722999390213
AT1G02205	558.000842411753	1197.73800935474	888.071438632333	919.24098516261
AT1G02220	49.9829201836046	75.0044310706534	43.0917942737599	59.4033104524994
AT1G02230	11.3996133752081	10.0005908094204	7.06422856946884	7.74825788510862
AT1G02260	407.822548583961	163.098618401125	270.548048963006	99.7963829284191
AT1G02270	248.216175641141	309.810924670863	299.590111031181	316.457778775325
AT1G02280	1260.04669028821	1878.60792736191	1116.37663200949	1686.62627704914
AT1G02290	73.6590402705752	226.263367063138	92.5413942600418	402.909410025648
AT1G02300	887.41605659312	908.803689806083	501.560228432288	657.310543920048
AT1G02305	1470.55012540184	1788.85568103508	1140.16649111227	1638.75654270047
